Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	P0C0L4	Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2	FAUX	507.651	46	67	277	3	1744	192.7	7.08	920.66	67	"defense response;metabolic process;regulation of biological process;response to stimulus"	"extracellular;membrane;organelle lumen"	"catalytic activity;enzyme regulator activity;protein binding"	Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974, Pf13249	"720; 721"	ENSG00000244731.7	"C4A; C4B"	6	"Pertussis; Complement and coagulation cascades; Systemic lupus erythematosus; Staphylococcus aureus infection"	"Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Initial triggering of complement; Regulation of Complement cascade; Activation of C3 and C5"	"Allograft Rejection; Complement Activation; Complement and Coagulation Cascades; Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways"	18	0.458	0.444	0.952	-1.13	-1.17	-0.07	6.12744E-07	0.035315517	0.846963381	1.28052E-05	0.263372975	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P0C0L5	Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2	FAUX	492.724	45	67	275	3	1744	192.6	7.27	882.98	67	"defense response;metabolic process;regulation of biological process;response to stimulus"	"extracellular;membrane"	"catalytic activity;enzyme regulator activity;protein binding"	Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974, Pf13249	"721; 100293534"	"ENSG00000224389.8; ENSG00000228267.8"	"C4B; C4B_2; LOC100293534"	"6; CHR_HSCHR6_MHC_COX_CTG1"	"Pertussis; Complement and coagulation cascades; Systemic lupus erythematosus; Staphylococcus aureus infection"	"Initial triggering of complement; Regulation of Complement cascade; Activation of C3 and C5"	"Allograft Rejection; Oxidative Damage; Complement Activation; Complement and Coagulation Cascades; Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways"	15	0.519	0.514	0.995	-0.95	-0.96	-0.01	2.33273E-05	0.089003126	0.722489333	0.000384304	0.472658951	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	FAUX	436.885	36	91	262	91	5890	628.7	6.15	666.26	91	"cell organization and biogenesis;regulation of biological process"	"cytoplasm;cytoskeleton;cytosol;membrane;nucleus"	"protein binding;RNA binding;structural molecule activity"		79026	ENSG00000124942.13	AHNAK	11				0	1.474	1.225	0.854	0.56	0.29	-0.23	0.037343752	0.481838911	0.837865079	0.235432537	0.950241545	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q14315	Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3	FAUX	425.152	35	76	248	58	2725	290.8	5.97	776.98	76	cell organization and biogenesis	"cytoplasm;cytoskeleton;cytosol;membrane"	protein binding	Pf00307, Pf00630	2318	ENSG00000128591.15	FLNC	7	"MAPK signaling pathway; Focal adhesion; Proteoglycans in cancer; Salmonella infection"	Cell-extracellular matrix interactions		7	0.939	0.835	0.893	-0.09	-0.26	-0.16	0.518298694	0.721051461	0.968922398	0.914995073	0.990871106	0.999131486	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P02675	Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	FAUX	419.341	69	29	512	29	491	55.9	8.27	1535.05	29	"cell organization and biogenesis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"cell surface;cytoplasm;extracellular;membrane;organelle lumen"	"protein binding;structural molecule activity"	Pf00147, Pf08702	2244	ENSG00000171564.11	FGB	4	"Complement and coagulation cascades; Platelet activation"	"Integrin cell surface interactions; Signaling by BRAF and RAF fusions; MAP2K and MAPK activation; GRB2:SOS provides linkage to MAPK signaling for Integrins ; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; Platelet degranulation ; p130Cas linkage to MAPK signaling for integrins; Paradoxical activation of RAF signaling by kinase inactive BRAF; Common Pathway of Fibrin Clot Formation; Regulation of TLR by endogenous ligand; Interleukin-20 family signaling"	"Blood Clotting Cascade; VEGFA-VEGFR2 Signaling Pathway; Complement and Coagulation Cascades"	38	0.939	4.883	5.483	-0.09	2.29	2.45	0.516594519	5.88968E-06	4.76923E-11	0.914995073	0.000415406	1.07642E-08	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	FAUX	418.195	83	41	495	40	466	53.6	5.12	1388.79	41	"cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol;membrane"	"protein binding;RNA binding;structural molecule activity"	Pf00038, Pf04111, Pf04156, Pf04732, Pf05622, Pf10186	7431	ENSG00000026025.15	VIM	10	"MicroRNAs in cancer; Epstein-Barr virus infection"	"Interleukin-4 and 13 signaling; Caspase-mediated cleavage of cytoskeletal proteins; Striated Muscle Contraction"	"Allograft Rejection; Spinal Cord Injury; Primary Focal Segmental Glomerulosclerosis FSGS; Apoptosis-related network due to altered Notch3 in ovarian cancer; Striated Muscle Contraction; TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition; T-Cell antigen Receptor (TCR)  Signaling Pathway"	20	1.507	1.316	0.912	0.59	0.4	-0.13	0.026852507	0.367386975	0.972608518	0.182548519	0.910200223	0.999131486	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P02679	Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	FAUX	416.068	73	26	513	26	453	51.5	5.62	1692.06	26	"cell organization and biogenesis;coagulation;metabolic process;regulation of biological process;response to stimulus;transport"	"cell surface;cytoplasm;extracellular;membrane;organelle lumen"	"catalytic activity;metal ion binding;protein binding;structural molecule activity"	Pf00147, Pf08317, Pf08702, Pf15397	2266	ENSG00000171557.16	FGG	4	"Complement and coagulation cascades; Staphylococcus aureus infection; Platelet activation"	"Post-translational protein phosphorylation; Integrin cell surface interactions; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Signaling by BRAF and RAF fusions; MAP2K and MAPK activation; GRB2:SOS provides linkage to MAPK signaling for Integrins ; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; p130Cas linkage to MAPK signaling for integrins; Platelet degranulation ; Paradoxical activation of RAF signaling by kinase inactive BRAF; Common Pathway of Fibrin Clot Formation; Regulation of TLR by endogenous ligand; Interleukin-20 family signaling"	"Blood Clotting Cascade; VEGFA-VEGFR2 Signaling Pathway"	42	1.001	5.94	6.057	0	2.57	2.6	0.792562681	3.92292E-07	3.8971E-12	0.982546615	4.9189E-05	1.25654E-09	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P05160	Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3	FAUX	380.895	65	33	245	33	661	75.5	6.39	846.58	33	coagulation	extracellular		Pf00084	2165	ENSG00000143278.3	F13B	1	Complement and coagulation cascades	Common Pathway of Fibrin Clot Formation	"Blood Clotting Cascade; Steroid Biosynthesis; Complement and Coagulation Cascades"	7	0.366	0.342	0.938	-1.45	-1.55	-0.09	2.104E-10	0.004713041	0.890697577	8.79393E-09	0.066483338	0.991622315	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	FAUX	353.475	80	24	222	4	444	49.6	4.89	766.24	24	"cell division;cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;extracellular;membrane;nucleus;organelle lumen"	"catalytic activity;nucleotide binding;protein binding;structural molecule activity"	Pf00091, Pf03953, Pf10644	203068	"ENSG00000232575.10; ENSG00000196230.12; ENSG00000227739.10; ENSG00000224156.10; ENSG00000235067.10; ENSG00000229684.10; ENSG00000183311.16; ENSG00000232421.10"	TUBB	"6; CHR_HSCHR6_MHC_MANN_CTG1; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_APD_CTG1; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_MCF_CTG1; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1"	"Pathogenic Escherichia coli infection; Gap junction; Phagosome"	"Neutrophil degranulation; Regulation of PLK1 Activity at G2/M Transition; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Recruitment of NuMA to mitotic centrosomes; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes"	"Pathogenic Escherichia coli infection; Parkin-Ubiquitin Proteasomal System pathway"	24	1.095	0.511	0.465	0.13	-0.97	-1.1	0.779623382	0.086221245	0.015469789	0.982227132	0.466669904	0.16392166	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	FAUX	343.802	58	38	186	38	858	95.3	6.83	670.1	38	"cell differentiation;cell proliferation;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen;ribosome"	"catalytic activity;nucleotide binding;protein binding;RNA binding"	Pf00009, Pf00679, Pf03144, Pf03764, Pf14492	1938	ENSG00000167658.15	EEF2	19	"Oxytocin signaling pathway; AMPK signaling pathway"	"Peptide chain elongation; Protein methylation; Synthesis of diphthamide-EEF2; Neutrophil degranulation; Uptake and function of diphtheria toxin"	"Translation Factors; AMP-activated Protein Kinase (AMPK) Signaling; Brain-Derived Neurotrophic Factor (BDNF) signaling pathway"	20	0.934	0.63	0.675	-0.1	-0.67	-0.57	0.49781266	0.255243713	0.287683071	0.909920764	0.837332936	0.858863349	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	FAUX	343.594	70	57	210	37	911	104.8	5.44	678.84	57	"cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;nucleus;organelle lumen"	"DNA binding;metal ion binding;protein binding;RNA binding"	Pf00307, Pf00435, Pf08726, Pf11971, Pf13499	81	"ENSG00000282844.1; ENSG00000130402.11"	ACTN4	"19; CHR_HG26_PATCH"	"Viral carcinogenesis; Amoebiasis; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Tight junction; Focal adhesion; Adherens junction; Regulation of actin cytoskeleton; Leukocyte transendothelial migration; Systemic lupus erythematosus"	"Platelet degranulation ; Nephrin family interactions"	"Arrhythmogenic Right Ventricular Cardiomyopathy; Primary Focal Segmental Glomerulosclerosis FSGS; Striated Muscle Contraction"	18	1.028	1.26	1.211	0.04	0.33	0.28	0.919318432	0.434513886	0.284612195	0.998387812	0.941168753	0.85847649	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	FAUX	343.253	69	32	186	32	531	57.9	7.84	679.94	32	"cell death;cell organization and biogenesis;metabolic process;response to stimulus;transport"	"cytoplasm;cytosol;extracellular;mitochondrion;nucleus;organelle lumen"	"catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding"	Pf00224, Pf02887	5315	ENSG00000067225.17	PKM	15	"Viral carcinogenesis; Central carbon metabolism in cancer; Carbon metabolism; Purine metabolism; Pyruvate metabolism; Type II diabetes mellitus; Glucagon signaling pathway; Glycolysis / Gluconeogenesis; Biosynthesis of amino acids; Metabolic pathways"	"Glycolysis; Neutrophil degranulation"	"Photodynamic therapy-induced HIF-1 survival signaling; Amino Acid metabolism; Glycolysis and Gluconeogenesis"	20	1.377	0.884	0.657	0.46	-0.18	-0.6	0.095145227	0.840773886	0.247179119	0.43331025	0.991178718	0.818668932	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
